AccessionID	NumChromosomal	NumPlasmid	NumExtraChromosomal	Length_DNA	NumProteins	GC	SequenceType	Phylogroup	Serotype	Remarks
GCF_001932515.1	1	0	0	4792200	4330	50.73	ST10	A	O16:H48	Keep
GCF_001936315.1	1	2	0	5773662	5179	50.43	ST189	A	O3:H26	Keep
GCF_001971765.1	1	3	0	5312757	4863	50.51	ST1011	D	O86:H51	Keep
GCF_001999185.1	1	0	0	4643284	4193	50.79	ST10	A	O16:H48	GCF_001999185.1 has been dropped because has ANI=99.9957 to GCF_000005845.2
GCF_002007705.1	1	0	0	5111920	4496	50.66	ST7610*	A	O15:H10	Keep
GCF_002009315.1	1	7	0	5465306	4943	50.80	ST117	G	O-:H4	Keep
GCF_002011945.1	1	8	0	5223096	4842	50.70	ST101	B1	O131:H31	Keep
GCF_002011965.1	1	4	0	5126305	4763	50.74	ST131	B2	O25:H4	Keep
GCF_002011985.1	1	3	0	5471138	4982	50.82	ST393	D	O15:H1	Keep
GCF_002012005.1	1	2	0	4968096	4456	50.67	ST410	C	O-:H9	Keep
GCF_002012025.1	1	4	0	5395325	5014	50.81	ST131	B2	O25:H4	Keep
GCF_002012045.1	1	5	0	5276034	4847	50.63	ST38	D	O153:H9	Keep
GCF_002012065.1	1	2	0	5405139	4989	50.80	ST131	B2	O25:H4	Keep
GCF_002012085.1	1	7	0	5727407	5358	50.71	ST131	B2	O25:H4	Keep
GCF_002012105.1	1	3	0	5090480	4611	50.89	ST540	A	Unk:H30	Keep
GCF_002012125.1	1	4	0	5090221	4603	50.89	ST44	A	O101:H4	Keep
GCF_002012145.1	1	2	0	5101928	4669	50.64	ST131	B2	O25:H4	Keep
GCF_002012165.1	1	2	0	5351874	4944	50.72	ST131	B2	O25:H4	Keep
GCF_002012205.1	1	3	0	5065803	4643	50.83	ST131	B2	O25:H4	Keep
GCF_002012225.1	1	8	0	5597549	5150	50.46	ST648	F	O1:H6	Keep
GCF_002012245.1	1	4	0	5252746	4842	50.90	ST131	B2	O25:H4	Keep
GCF_002012265.1	1	3	0	5173038	4744	50.88	ST131	B2	O25:H4	Keep
GCF_002012305.1	1	4	0	5383061	4954	50.43	ST131	B2	O25:H4	Keep
GCF_002024865.1	1	0	0	5076615	4637	50.59	ST95	B2	Unk:H7	GCF_002024865.1 has been dropped because has ANI=99.9917 to GCF_000013265.1
GCF_002055605.1	1	0	0	5112484	4634	50.61	ST300	B1	O182:H25	Keep
GCF_002055635.1	1	3	0	5365068	4961	50.65	ST101	B1	O131:H31	Keep
GCF_002056065.1	1	2	0	4734219	4268	50.79	ST1408	A	Unk:H30	Keep
GCF_002056145.1	1	2	0	4826754	4376	50.80	ST1809	C	O78:H9	Keep
GCF_002056635.1	1	3	0	5262025	4824	50.76	ST131	B2	O25:H4	Keep
GCF_002057245.1	1	0	0	5371291	4948	50.62	ST300	B1	O156:H25	Keep
GCF_002057355.1	1	0	0	4942246	4548	50.65	ST327	B1	O156:H8	Keep
GCF_002058765.1	1	0	0	5445834	4842	50.51	ST1266	E	Unk:H34	Keep
GCF_002077195.1	1	5	0	5113593	4624	50.95	ST1434	A	O18ab:H14	Keep
GCF_002079225.1	1	0	0	4617024	4096	50.96	ST1721	A	O-:H19	GCF_002079225.1 has been dropped because has ANI=99.9961 to GCF_900186905.1
GCF_002090355.1	1	0	0	4550811	4091	50.78	ST-Unknown	A	O7:H-	Keep
GCF_002105735.1	1	1	0	4926135	4463	50.95	ST1434	Unknown	O18ab:H14	Keep
GCF_002116715.2	1	2	0	5074830	4582	50.70	ST602	B1	O-:H21	Keep
GCF_002118095.1	1	0	0	4567242	4086	50.79	ST10	A	O16:H48	Keep
GCF_002142675.1	1	4	0	5628524	5104	50.54	ST405	D	O102:H6	Keep
GCF_002142695.1	1	2	0	5256426	4782	50.62	ST617	A	O101:H10	Keep
GCF_002142715.1	1	3	0	5400073	4955	50.40	ST131	B2	O25:H4	Keep
GCF_002156825.1	1	2	0	5517971	5062	50.55	ST294	B1	O111:H8	GCF_002156825.1 has been dropped because has ANI=99.9946 to GCF_002156845.1
GCF_002156845.1	1	2	0	5636758	5165	50.54	ST294	B1	O111:H8	Keep
GCF_002157245.1	1	1	0	5147804	4690	50.80	ST131	B2	O25:H4	Keep
GCF_002163655.1	1	0	0	4855460	4353	50.68	ST101	B1	O153:H21	Keep
GCF_002163695.1	1	0	0	4759716	4241	50.64	ST154	B1	O89:H38	Keep
GCF_002164595.2	1	4	0	5388661	4886	50.68	ST405	D	O102:H6	GCF_002164595.2 has been dropped because has ANI=99.995 to GCF_002164645.3
GCF_002164635.4	1	3	0	5340337	4860	50.65	ST405	D	O102:H6	GCF_002164635.4 has been dropped because has ANI=99.996 to GCF_002164645.3
GCF_002164645.3	1	4	0	5391223	4898	50.67	ST405	D	O102:H6	Keep
GCF_002164865.2	1	7	0	4958942	4516	50.58	ST410	C	O8:H21	Keep
GCF_002164975.2	1	4	0	4913909	4417	50.58	ST410	C	O8:H9	Keep
GCF_002165095.2	1	12	0	5326272	4846	50.70	ST156	B1	O-:H25	Keep
GCF_002165115.2	1	6	0	5052208	4527	50.53	ST410	C	O-:H9	Keep
GCF_002180055.1	1	2	0	4924856	4380	50.75	ST167	A	O101:H9	Keep
GCF_002180095.1	1	3	0	5435963	5018	50.58	ST101	B1	O131:H31	Keep
GCF_002180135.1	1	4	0	5064173	4507	50.77	ST167	A	O101:H5	Keep
GCF_002180195.1	1	1	0	5103486	4676	50.83	ST131	B2	O25:H4	Keep
GCF_002180215.1	1	2	0	4959341	4441	50.77	ST167	A	O101:H9	GCF_002180215.1 has been dropped because has ANI=99.9978 to GCF_002192295.1
GCF_002180275.1	1	3	0	5321269	4879	50.61	ST101	B1	O131:H31	GCF_002180275.1 has been dropped because has ANI=99.9925 to GCF_002055635.1
GCF_002192275.1	1	3	0	5017345	4512	50.75	ST617	A	O101:H9	Keep
GCF_002192295.1	1	3	0	5078246	4555	50.82	ST167	A	O101:H9	Keep
GCF_002193095.1	1	1	0	5113241	4652	50.78	ST131	B2	O25:H4	Keep
GCF_002196475.1	1	3	0	5457692	4889	50.53	ST219	E	O51:H34	GCF_002196475.1 has been dropped because has ANI=99.9946 to GCF_002196495.1
GCF_002196495.1	1	3	0	5468903	4891	50.55	ST219	E	O51:H34	Keep
GCF_002201835.1	1	3	0	5085165	4564	50.83	ST1284	A	O101:H21	Keep
GCF_002202175.1	1	3	0	5506082	5079	50.88	ST131	B2	O25:H4	Keep
GCF_002208865.2	1	2	0	5686680	5142	50.48	ST11	E	O157:H7	Keep
GCF_002209105.2	1	2	0	5442454	4948	50.59	ST678	B1	O104:H4	Keep
GCF_002211725.1	1	5	0	5466321	4825	51.00	ST635	A	Unk:H7	Keep
GCF_002214205.1	1	3	0	5477301	4959	50.27	ST1485	F	O15:H42	Keep
GCF_002214745.2	1	1	0	5321865	4823	50.69	ST678	B1	O104:H4	Keep
GCF_002215095.1	1	1	0	5035255	4548	50.63	ST141	B2	Unk:H6	Keep
GCF_002220215.1	1	0	0	4914770	4494	50.74	ST2521	B1	O178:H7	Keep
GCF_002220265.1	1	2	0	5703173	5027	50.50	ST11	E	O157:H7	Keep
GCF_002237305.1	1	0	0	4859743	4430	50.40	ST1858	B2	O75:H5	Keep
GCF_002237325.1	1	0	0	4847481	4466	50.84	ST155	B1	O102:H21	Keep
GCF_002246595.2	1	11	0	4985901	4504	50.76	ST34	A	Unk:H10	Keep
GCF_002249955.1	1	1	0	5498101	4935	50.45	ST11	E	O157:H7	Keep
GCF_002269325.1	1	2	0	4965555	4338	50.57	ST4	A	O6:H16	Keep
GCF_002278115.2	1	3	0	5711651	5255	50.46	ST69	D	Unk:H18	Keep
GCF_002285755.1	1	1	0	5221926	4787	50.52	ST95	B2	Unk:H7	Keep
GCF_002302315.1	1	2	0	5319464	4817	50.64	ST443	B1	O115:H5	Keep
GCF_002302335.1	1	3	0	5207995	4771	50.69	ST5305	B1	O114:H49	Keep
GCF_002310555.1	1	3	0	5000721	4575	50.75	ST539	B1	O159:H28	Keep
GCF_002310575.1	1	1	0	5135913	4617	50.54	ST127	B2	O6:H31	Keep
GCF_002310595.1	1	2	0	5361252	4812	50.56	ST38	D	O1:H15	Keep
GCF_002310615.1	1	1	0	4987038	4590	50.83	ST349	D	O166:H15	Keep
GCF_002310635.1	1	1	0	5133746	4608	50.51	ST929	B2	O21:H14	Keep
GCF_002310655.1	1	3	0	5319278	4781	50.69	ST963	D	O-:H18	Keep
GCF_002310675.1	1	5	0	5091284	4650	50.64	ST46	A	Unk:H4	Keep
GCF_002310695.1	1	4	0	5309743	4881	50.51	ST648	F	O153:H2	Keep
GCF_002310715.1	1	2	0	4951571	4479	50.63	ST744	A	O101:H9	Keep
GCF_002310735.1	1	5	0	4920052	4424	50.75	ST10	A	O101:H10	Keep
GCF_002357875.1	1	2	0	5219955	4737	50.31	ST457	F	O1:H25	Keep
GCF_002357895.1	1	2	0	5295071	4825	50.24	ST457	F	O11:H25	Keep
GCF_002357915.1	1	6	0	5379699	4921	50.58	ST117	G	O24:H4	Keep
GCF_002393365.1	1	3	0	5475414	4962	50.63	ST678	B1	O104:H4	GCF_002393365.1 has been dropped because has ANI=99.9964 to GCF_002983645.1
GCF_002393465.1	1	1	0	5387375	4871	50.67	ST678	B1	O104:H4	GCF_002393465.1 has been dropped because has ANI=99.9931 to GCF_000299475.1
GCF_002494365.2	1	3	0	5256128	4703	50.83	ST1434	A	O18ab:H14	Keep
GCF_002587005.1	1	1	0	5083233	4592	50.52	ST648	F	O45:H45	Keep
GCF_002589795.1	1	10	0	5121856	4660	50.57	ST410	C	O8:H21	Keep
GCF_002591135.1	1	4	0	5446833	4926	50.55	ST405	D	O102:H6	Keep
GCF_002716885.1	1	2	0	5030336	4622	50.83	ST442	B1	O91:H21	Keep
GCF_002741175.1	1	3	0	5042926	4464	50.71	ST1312	A	O25:H16	Keep
GCF_002741195.1	1	5	0	5384245	4763	50.45	ST4	A	O6:H16	Keep
GCF_002741255.1	1	2	0	5145656	4709	50.72	ST5305	B1	O114:H49	Keep
GCF_002741295.1	1	2	0	5117901	4544	50.73	ST1312	A	O25:H16	Keep
GCF_002741315.1	1	2	0	5078362	4458	50.68	ST1312	A	O25:H16	Keep
GCF_002741335.1	1	2	0	4898585	4349	50.57	ST4	A	O6:H16	Keep
GCF_002741355.1	1	3	0	5254447	4756	50.70	ST7256	B1	O78:H12	Keep
GCF_002741435.1	1	4	0	5222299	4726	50.40	ST182	E	O-:H-	Keep
GCF_002741455.1	1	1	0	5130625	4654	50.60	ST58	B1	O128ac:H27	Keep
GCF_002741475.1	1	3	0	4952219	4475	50.44	ST316	B1	O27:H7	Keep
GCF_002741495.1	1	2	0	5157150	4678	50.26	ST182	E	O-:H-	Keep
GCF_002741535.1	1	3	0	5192176	4650	50.16	ST182	E	O-:H-	Keep
GCF_002741555.1	1	1	0	5020694	4512	50.44	ST182	E	O-:H-	Keep
GCF_002741575.1	1	2	0	4916911	4395	50.65	ST4	A	O6:H16	Keep
GCF_002741595.1	1	3	0	5307783	4920	50.76	ST443*	B1	O178:H19	Keep
GCF_002761835.1	1	0	0	4592887	4074	50.98	ST1721	A	O-:H19	GCF_002761835.1 has been dropped because has ANI=99.9901 to GCF_900186905.1
GCF_002763515.2	1	2	0	5194458	4609	50.42	ST127	B2	O6:H31	Keep
GCF_002763995.1	1	2	0	5313900	4902	50.77	ST131	B2	O25:H4	Keep
GCF_002764015.1	1	2	0	5313897	4899	50.77	ST131	B2	O25:H4	GCF_002764015.1 has been dropped because has ANI=99.9967 to GCF_002763995.1
GCF_002786655.1	1	3	0	5197297	4645	50.65	ST167	A	O101:H10	GCF_002786655.1 has been dropped because has ANI=99.9933 to GCF_002787545.1
GCF_002787215.1	1	3	0	5354275	4848	50.68	ST405	D	O102:H6	Keep
GCF_002787315.1	1	2	0	5045701	4518	50.79	ST167	A	Unk:H9	Keep
GCF_002787545.1	1	3	0	5258418	4633	50.62	ST167	A	O101:H10	Keep
GCF_002787645.1	1	3	0	5110145	4653	50.41	ST457	F	O11:H25	Keep
GCF_002787935.1	1	4	0	5416962	4959	50.64	ST101	B1	O-:H31	Keep
GCF_002788115.1	1	3	0	5384212	4873	50.73	ST405	D	O102:H6	Keep
GCF_002788295.1	1	3	0	5172880	4614	50.74	ST167	A	Unk:H9	Keep
GCF_002796445.1	1	1	0	4720657	4236	50.90	ST448	B1	O29:H8	Keep
GCF_002796585.1	1	1	0	5139469	4716	50.73	ST144	B2	O16:H6	Keep
GCF_002803805.1	1	3	0	5262717	4636	50.80	ST764	A	Unk:H21	Keep
GCF_002803905.1	1	5	0	4936673	4435	50.60	ST410	C	O8:H9	Keep
GCF_002811555.3	1	6	0	5351201	4866	50.32	ST410	C	O8:H9	Keep
GCF_002812545.1	1	0	0	4792402	4258	50.76	ST48	A	O8:H18	Keep
GCF_002843685.1	1	0	0	4643559	4159	50.76	ST10	A	O16:H48	Keep
GCF_002844165.1	1	1	0	5479471	4901	50.63	ST655	B1	O121:H19	Keep
GCF_002844685.1	1	1	0	5433619	4892	50.58	ST95	B2	Unk:H7	Keep
GCF_002846135.1	1	2	0	5595419	5083	50.37	ST95	B2	Unk:H4	Keep
GCF_002848225.1	1	0	0	4605446	4111	50.76	ST1060	A	O16:H48	GCF_002848225.1 has been dropped because has ANI=99.9969 to GCF_013167075.1
GCF_002853655.1	1	3	0	5464319	4922	50.54	ST301	A	O70:H2	Keep
GCF_002853715.1	1	2	0	5145882	4696	50.70	ST117	G	O24:H4	Keep
GCF_002853805.1	1	5	0	5594085	5120	50.36	ST88	C	O8:H10	Keep
GCF_002854065.1	1	7	0	5211844	4631	50.67	ST2064	E	O52:H45	Keep
GCF_002855325.1	1	3	0	5335332	4799	50.85	ST793	A	O115:H10	Keep
GCF_002855415.1	1	2	0	5310132	4803	50.59	ST301	A	O180:H2	Keep
GCF_002859105.1	1	2	0	5270937	4684	50.49	ST127	B2	O6:H31	Keep
GCF_002860085.1	1	4	0	5464248	4921	50.59	ST156	B1	O35:H28	Keep
GCF_002860105.1	1	5	0	5256088	4726	50.73	ST167	A	Unk:H9	Keep
GCF_002863665.1	1	3	0	5411703	4810	50.56	ST659	A	O177:H25	Keep
GCF_002863685.1	1	3	0	5447056	4831	50.56	ST659	A	O177:H25	Keep
GCF_002863845.1	1	2	0	5157999	4680	50.42	ST3693	B2	O-:H18	Keep
GCF_002863885.1	1	2	0	5277721	4691	50.41	ST659	A	O177:H25	Keep
GCF_002879975.1	1	0	0	4918774	4460	50.76	ST10	A	Unk:H11	Keep
GCF_002887715.1	1	0	0	5033214	4343	50.53	ST127	B2	O6:H31	Keep
GCF_002893905.2	1	2	0	5104992	4649	50.69	ST90	C	O147:H19	Keep
GCF_002899475.1	1	0	0	4833062	4428	50.75	ST-Unknown	B1	O6:H49	Keep
GCF_002899495.1	1	0	0	4544646	4120	50.80	ST10	A	O16:H48	GCF_002899495.1 has been dropped because has ANI=99.9959 to GCF_000005845.2
GCF_002899515.1	1	0	0	4624968	4175	50.79	ST10	A	O16:H48	GCF_002899515.1 has been dropped because has ANI=99.9942 to GCF_000005845.2
GCF_002899535.1	1	0	0	4639673	4190	50.79	ST-Unknown	A	O16:H48	GCF_002899535.1 has been dropped because has ANI=99.9968 to GCF_000005845.2
GCF_002900305.1	1	0	0	5116034	4500	50.44	ST127	B2	O-:H31	Keep
GCF_002903105.1	1	7	0	6028201	5441	50.76	ST399	A	O166:H30	Keep
GCF_002903125.1	1	2	0	5068035	4543	50.80	ST167	A	Unk:H9	Keep
GCF_002934025.1	1	0	0	4456672	3980	50.84	ST10	A	O16:H48	Keep
GCF_002934895.1	1	6	0	5788999	5274	50.80	ST399	A	Unk:H30	Keep
GCF_002944935.1	1	3	0	5022152	4634	50.67	ST538	B2	Unk:H4	Keep
GCF_002945135.3	1	8	0	5187212	4632	50.81	ST167	A	O101:H9	Keep
GCF_002946715.1	1	5	0	5887450	5387	50.34	ST38	D	O51:H30	Keep
GCF_002948655.1	1	1	0	5077205	4680	50.55	ST1276	F	O8:H51	Keep
GCF_002951655.1	1	11	0	5444354	4855	50.75	ST117	G	O33:H4	Keep
GCF_002951675.1	1	1	0	5273479	4776	50.48	ST127	B2	O6:H31	Keep
GCF_002951695.1	1	4	0	5085448	4554	50.69	ST3902	A	O41:H45	Keep
GCF_002951715.1	1	5	0	5386699	4849	50.65	ST602	B1	O-:H21	Keep
GCF_002951735.1	1	4	0	5129599	4483	50.71	ST46	A	Unk:H4	Keep
GCF_002951755.1	1	2	0	4901615	4373	50.78	ST453	B1	O23:H16	Keep
GCF_002951775.1	1	7	0	5378331	4671	50.50	ST4542	A	O39:H16	Keep
GCF_002951795.1	1	3	0	4938616	4395	50.60	ST155	B1	Unk:H51	Keep
GCF_002951855.1	1	1	0	4844877	4440	50.63	ST28	B2	O-:H6	Keep
GCF_002952095.1	1	4	0	5592499	4974	50.41	ST2847	E	O-:H28	Keep
GCF_002952695.1	1	0	0	5052887	4628	50.72	ST795	B1	O76:H7	Keep
GCF_002952855.1	1	0	0	4651843	4196	50.80	ST10	A	O16:H48	GCF_002952855.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002952875.1	1	0	0	4651848	4195	50.80	ST10	A	O16:H48	GCF_002952875.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002952895.1	1	0	0	4651793	4195	50.80	ST10	A	O16:H48	GCF_002952895.1 has been dropped because has ANI=99.9997 to GCF_000005845.2
GCF_002952915.1	1	0	0	4651849	4196	50.81	ST10	A	O16:H48	GCF_002952915.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002952935.1	1	0	0	4651849	4194	50.80	ST10	A	O16:H48	GCF_002952935.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002952955.1	1	0	0	4651848	4195	50.80	ST10	A	O16:H48	GCF_002952955.1 has been dropped because has ANI=100 to GCF_000005845.2
GCF_002952995.1	1	0	0	4651842	4193	50.80	ST10	A	O16:H48	GCF_002952995.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002953015.1	1	0	0	4651847	4195	50.81	ST10	A	O16:H48	GCF_002953015.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953035.1	1	0	0	4651843	4195	50.81	ST10	A	O16:H48	GCF_002953035.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002953055.1	1	0	0	4651848	4194	50.80	ST10	A	O16:H48	GCF_002953055.1 has been dropped because has ANI=99.9997 to GCF_000005845.2
GCF_002953075.1	1	0	0	4651848	4194	50.81	ST10	A	O16:H48	GCF_002953075.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953095.1	1	0	0	4651849	4196	50.80	ST10	A	O16:H48	GCF_002953095.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953435.1	1	3	0	5554216	5084	50.42	ST95	B2	O1:H7	Keep
GCF_002953455.1	1	3	0	5104264	4554	50.48	ST410	C	O-:H9	Keep
GCF_002953755.1	1	0	0	4651849	4195	50.81	ST10	A	O16:H48	GCF_002953755.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002953775.1	1	0	0	4651842	4195	50.80	ST10	A	O16:H48	GCF_002953775.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953795.1	1	0	0	4651849	4196	50.81	ST10	A	O16:H48	GCF_002953795.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953815.1	1	0	0	4651849	4196	50.80	ST10	A	O16:H48	GCF_002953815.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002953835.1	1	0	0	4651849	4195	50.81	ST10	A	O16:H48	GCF_002953835.1 has been dropped because has ANI=100 to GCF_000005845.2
GCF_002953855.1	1	0	0	4651848	4196	50.80	ST10	A	O16:H48	GCF_002953855.1 has been dropped because has ANI=100 to GCF_000005845.2
GCF_002953875.1	1	0	0	4651765	4195	50.81	ST10	A	O16:H48	GCF_002953875.1 has been dropped because has ANI=99.9998 to GCF_000005845.2
GCF_002953895.1	1	0	0	4651857	4195	50.81	ST10	A	O16:H48	GCF_002953895.1 has been dropped because has ANI=99.9999 to GCF_000005845.2
GCF_002966755.1	1	0	0	4687045	4223	50.71	ST1485*	F	O-:H-	Keep
GCF_002968715.1	1	5	0	4919661	4458	50.56	ST8150	A	Unk:H20	Keep
GCF_002968735.1	1	5	0	5487875	4958	50.60	ST405	D	O102:H6	Keep
GCF_002968935.1	1	2	0	5064059	4515	50.77	ST58	B1	Unk:H9	Keep
GCF_002983645.1	1	4	0	5501145	4961	50.64	ST678	B1	O104:H4	Keep
GCF_002993265.1	1	0	0	4607960	4135	50.78	ST93	A	O7:H-	Keep
GCF_002996665.1	1	4	0	5106628	4723	50.65	ST278	B1	O-:H7	Keep
GCF_002996945.1	1	3	0	5296376	4894	50.79	ST131	B2	O25:H4	Keep
GCF_002999075.1	1	3	0	5022669	4511	50.85	ST156	B1	O-:H9	GCF_002999075.1 has been dropped because has ANI=99.9985 to GCF_003073875.1
GCF_003013205.1	1	1	0	4726450	4200	50.88	ST48	A	O145:H11	Keep
GCF_003017375.1	1	1	0	5594293	5119	50.69	ST17	B1	O103:H2	Keep
GCF_003017455.1	1	2	0	5434211	4887	50.56	ST16	B1	O111:H8	Keep
GCF_003017555.1	1	2	0	5521830	5023	50.61	ST16	B1	O111:H8	Keep
GCF_003017615.1	1	1	0	5082486	4485	50.76	ST56	B1	O113:H21	Keep
GCF_003017765.1	1	1	0	5553868	5117	50.78	ST442	B1	O146:H21	Keep
GCF_003017805.1	1	2	0	5303516	4638	50.61	ST119	A	O165:H25	Keep
GCF_003017915.1	1	1	0	5690119	5028	50.64	ST21	B1	O71:H11	Keep
GCF_003017935.1	1	1	0	5470775	4905	50.79	ST33	B1	O91:H14	Keep
GCF_003017975.1	1	1	0	5388459	4820	50.62	ST1792	B1	O111:H8	Keep
GCF_003017995.1	1	2	0	5251777	4742	50.75	ST443	B1	O178:H19	Keep
GCF_003018035.1	1	1	0	5901472	5423	50.63	ST21	B1	O26:H11	Keep
GCF_003018055.1	1	2	0	5823288	5288	50.63	ST21	B1	O69:H11	Keep
GCF_003018075.1	1	1	0	5270374	4627	50.62	ST660	A	O172:H25	Keep
GCF_003018095.1	1	1	0	4958625	4507	50.88	ST657	G	O-:H-	Keep
GCF_003018115.1	1	1	0	5109550	4693	50.78	ST3018	E	O137:H41	Keep
GCF_003018135.1	1	1	0	5753218	5157	50.65	ST21	B1	Unk:H16	Keep
GCF_003018155.1	1	1	0	5398051	4814	50.57	ST300	B1	O156:H25	Keep
GCF_003018195.1	1	1	0	5191444	4721	50.86	ST677	B1	O174:H21	Keep
GCF_003018215.1	1	1	0	5077047	4586	50.86	ST173	B1	O181:H49	Keep
GCF_003018235.1	1	2	0	5194649	4691	50.51	ST5350	D	O162:H6	Keep
GCF_003018255.1	1	1	0	5066380	4679	50.92	ST658	G	O185:H28	Keep
GCF_003018275.1	1	2	0	5285744	4772	50.80	ST173	B1	O181:H49	Keep
GCF_003018315.1	1	2	0	5746114	5161	50.55	ST21	B1	Unk:H11	Keep
GCF_003018335.1	1	2	0	5203410	4723	50.44	ST7083	cladeI	Unk:H45	Keep
GCF_003018355.1	1	1	0	5158555	4667	50.77	ST223	B1	O113:H21	Keep
GCF_003018375.1	1	1	0	5293669	4574	50.64	ST342	A	O5:H9	Keep
GCF_003018395.1	1	3	0	5353744	4745	50.53	ST659	A	O177:H25	Keep
GCF_003018455.1	1	2	0	6156163	5618	50.58	ST21	B1	O26:H11	Keep
GCF_003018475.1	1	1	0	4999728	4558	50.59	ST722	B2	O145:H34	Keep
GCF_003018495.1	1	1	0	5501497	4968	50.61	ST2836	B1	O117:H8	Keep
GCF_003018535.1	1	3	0	5634505	5141	50.46	ST16	B1	O111:H8	Keep
GCF_003018555.1	1	1	0	5734160	5213	50.68	ST723	B1	O103:H11	Keep
GCF_003018575.1	1	1	0	5768767	5213	50.62	ST21	B1	Unk:H16	Keep
GCF_003018615.1	1	0	0	5272286	4756	50.84	ST33*	B1	O91:H14	Keep
GCF_003018635.1	1	1	0	5417033	4725	50.62	ST342	A	O5:H9	Keep
GCF_003018655.1	1	0	0	5167951	4631	50.78	ST3695	B1	O113:H21	Keep
GCF_003018695.1	1	1	0	5470214	4870	50.63	ST655	B1	O121:H19	Keep
GCF_003018715.1	1	3	0	5687465	4979	50.64	ST29	B1	O26:H11	Keep
GCF_003018755.1	1	1	0	5171573	4715	50.77	ST205	B1	O-:H19	Keep
GCF_003018775.1	1	1	0	5539654	4919	50.62	ST655	B1	O121:H19	Keep
GCF_003018795.1	1	2	0	5725796	5184	50.63	ST21	B1	O26:H11	GCF_003018795.1 has been dropped because has ANI=99.9933 to GCF_003112185.1
GCF_003018815.1	1	3	0	5680429	5121	50.52	ST301	A	O80:H2	Keep
GCF_003018855.1	1	2	0	5114662	4739	50.71	ST2602	B1	O8:H16	Keep
GCF_003018875.1	1	5	0	5681977	5166	50.68	ST16	B1	O111:H8	Keep
GCF_003018895.1	1	1	0	5700435	5206	50.61	ST21	B1	O26:H11	Keep
GCF_003018915.1	1	1	0	5508088	5003	50.68	ST17	B1	O45:H2	Keep
GCF_003018935.1	1	1	0	5483749	4893	50.64	ST655	B1	O121:H19	Keep
GCF_003018995.1	1	0	0	5385516	4736	50.70	ST32	D	O145:H28	Keep
GCF_003019015.1	1	1	0	5270412	4573	50.65	ST119	A	O165:H25	Keep
GCF_003019035.1	1	1	0	5339468	4933	50.58	ST967	F	O36:H42	Keep
GCF_003019055.1	1	2	0	5491859	4927	50.60	ST655	B1	O121:H19	Keep
GCF_003019075.1	1	1	0	5327959	4741	50.64	ST660	A	O172:H25	Keep
GCF_003019095.1	1	0	0	5095223	4611	50.63	ST646	B2	O22:H5	Keep
GCF_003019115.1	1	1	0	4972231	4569	50.76	ST297	B1	O130:H11	Keep
GCF_003019155.1	1	1	0	5587496	4922	50.59	ST343	B1	O103:H25	Keep
GCF_003019175.1	1	1	0	5605298	5039	50.65	ST21	B1	O71:H11	Keep
GCF_003019215.1	1	1	0	5555996	5045	50.64	ST2836	B1	O117:H8	Keep
GCF_003020885.1	1	2	0	5292507	4877	50.68	ST95	B2	O45:H7	Keep
GCF_003030025.1	1	2	0	4967495	4484	50.75	ST7786	A	O-:H32	Keep
GCF_003030245.1	1	3	0	5241609	4713	50.50	ST5030	D	O1:H1	Keep
GCF_003030365.1	1	1	0	5063082	4467	50.78	ST617	A	O101:H10	Keep
GCF_003031225.1	1	0	0	4774500	4310	50.74	ST2223	A	O75:H42	Keep
GCF_003031735.1	1	4	0	5382571	4934	50.63	ST101	B1	O-:H31	Keep
GCF_003031775.1	1	1	0	5162167	4610	50.76	ST167	A	O101:H9	Keep
GCF_003031795.1	1	3	0	5440829	4936	50.66	ST405	D	O102:H6	Keep
GCF_003031815.1	1	4	0	5305742	4930	50.68	ST90	C	O8:H9	Keep
GCF_003033905.1	1	2	0	4860755	4299	50.53	ST10	A	O101:H9	Keep
GCF_003043915.1	1	0	0	4754025	4317	50.62	ST35	B2	O145:H34	Keep
GCF_003051985.2	1	3	0	4972505	4512	50.75	ST617	A	Unk:H10	Keep
GCF_003052645.1	1	0	0	4682574	4235	50.76	ST10	A	O16:H48	GCF_003052645.1 has been dropped because has ANI=99.9922 to GCF_013423805.1
GCF_003052665.1	1	0	0	4614635	4122	50.77	ST10	A	O16:H48	Keep
GCF_003073815.1	1	5	0	4952550	4481	50.67	ST410	C	O8:H21	Keep
GCF_003073835.1	1	8	0	5328723	4792	50.78	ST167	A	O101:H9	Keep
GCF_003073875.1	1	3	0	5028272	4516	50.84	ST156	B1	O-:H9	Keep
