AccessionID	SequenceType	Phylogroup	Count_Virulence	Count_Antibiotics	VirulenceCategory
GCF_013167195.1	ST11	E	27	0	4
GCF_013167235.1	ST11	E	25	0	4
GCF_013167255.1	ST335	E	20	3	3
GCF_013167275.1	ST5560	E	25	0	4
GCF_013167295.1	ST11	E	25	2	4
GCF_013167315.1	ST11	E	25	0	4
GCF_013167335.1	ST11	E	25	0	4
GCF_013167355.1	ST11	E	27	0	4
GCF_013167375.1	ST11	E	25	0	4
GCF_013167395.1	ST11	E	25	0	4
GCF_013167435.1	ST11	E	28	4	4
GCF_013167455.1	ST11	E	28	3	4
GCF_013167475.1	ST11	E	25	0	4
GCF_013167495.1	ST11	E	22	0	4
GCF_013167515.1	ST11	E	25	0	4
GCF_013167595.1	ST11	E	25	0	4
GCF_013167615.1	ST11	E	27	0	4
GCF_013167635.1	ST11	E	25	0	4
GCF_013167655.1	ST11	E	25	0	4
GCF_013167675.1	ST11	E	27	0	4
GCF_013167695.1	ST11	E	25	0	4
GCF_013167715.1	ST11	E	27	0	4
GCF_013167735.1	ST11	E	25	0	4
GCF_013167755.1	ST11	E	27	0	4
GCF_013167775.1	ST11	E	27	0	4
GCF_013167795.1	ST5516	E	23	0	4
GCF_013167815.1	ST11	E	26	0	4
GCF_013167875.1	ST11	E	25	0	4
GCF_013167935.1	ST61	E	30	2	4
GCF_013167975.1	ST335	E	18	1	3
GCF_013167995.1	ST335	E	18	1	3
GCF_013168035.1	ST11	E	26	0	4
GCF_013168055.1	ST11	E	28	2	4
GCF_013168095.1	ST11	E	26	0	4
GCF_013168115.1	ST11	E	24	0	4
GCF_013168135.1	ST11	E	25	0	4
GCF_013168155.1	ST11	E	26	0	4
GCF_013168175.1	ST11	E	27	2	4
GCF_013168195.1	ST11	E	27	0	4
GCF_013168215.1	ST11	E	25	0	4
GCF_013168235.1	ST11	E	27	0	4
GCF_013168255.1	ST11	E	27	0	4
GCF_013201175.1	ST48	A	4	11	1
GCF_013201215.1	ST11938	A	3	9	1
GCF_013201235.1	ST34	A	5	9	1
GCF_013201505.1	ST1998	C	4	8	1
GCF_013201525.1	ST48	A	7	6	2
GCF_013282195.1	ST405	D	10	9	2
GCF_013282275.1	ST38	D	22	11	4
GCF_013282315.1	ST1286	A	15	7	3
GCF_013282335.1	ST69	D	14	9	3
GCF_013282355.1	ST405	D	10	8	2
GCF_013305705.1	ST648	F	9	2	2
GCF_013315675.1	ST550	B2-nonST131	21	0	3
GCF_013315695.1	ST379	F	26	1	4
GCF_013315715.1	ST657	G	16	0	3
GCF_013315735.1	ST1155	B2-nonST131	23	0	4
GCF_013315755.1	ST57	E	4	0	1
GCF_013315995.1	ST8125	A	18	2	3
GCF_013340805.1	ST1011	D	12	21	2
GCF_013340825.1	ST2040	A	3	10	1
GCF_013342925.1	ST457	F	11	5	2
GCF_013343595.1	ST11	E	25	0	4
GCF_013343615.1	ST335	E	23	2	4
GCF_013343635.1	ST11	E	25	0	4
GCF_013371745.1	ST1788	A	12	11	2
GCF_013372305.1	ST1193	B2-nonST131	19	6	3
GCF_013372325.1	ST131	B2-ST131	19	3	3
GCF_013372345.1	ST216	A	3	0	1
GCF_013372365.1	ST394	D	17	0	3
GCF_013372385.1	ST73	B2-nonST131	20	1	3
GCF_013372405.1	ST2279	B2-nonST131	18	7	3
GCF_013372425.1	ST73	B2-nonST131	30	3	4
GCF_013374235.2	ST8453	A	6	20	2
GCF_013374255.1	ST410	C	7	20	2
GCF_013374275.1	ST10	A	7	19	2
GCF_013374295.2	ST8453	A	6	16	2
GCF_013374315.1	ST48	A	6	16	2
GCF_013374335.1	ST410	C	5	19	1
GCF_013376515.1	ST1437	A	4	4	1
GCF_013388275.1	ST69	D	16	17	3
GCF_013390265.1	ST550	B2-nonST131	20	0	3
GCF_013391825.1	ST716	A	3	5	1
GCF_013393825.1	ST3107	A	6	6	2
GCF_013394575.1	ST537	B2-nonST131	24	0	4
GCF_013402855.1	ST10	A	15	5	3
GCF_013402895.1	ST69	D	14	14	3
GCF_013423805.1	ST10	A	5	8	1
GCF_013425955.1	ST354	F	13	15	2
GCF_013426075.1	ST410	C	6	11	2
GCF_013426115.1	ST3835	A	9	20	2
GCF_013459015.1	ST457	F	11	0	2
GCF_013459175.1	ST457	F	14	3	3
GCF_013694285.1	ST48	A	4	8	1
GCF_013694345.1	ST4656	A	3	18	1
GCF_013694465.1	ST131	B2-ST131	18	9	3
GCF_014075475.1	ST7187	A	4	7	1
GCF_014075595.1	ST7366	A	2	8	1
GCF_014075795.1	ST48	A	4	7	1
GCF_014076685.2	ST1286	A	12	4	2
GCF_014117345.1	ST15	B2-nonST131	19	2	3
GCF_014117405.1	ST10	A	4	11	1
GCF_014157395.1	ST38	D	11	9	2
GCF_014162235.1	ST38	D	10	11	2
GCF_014168675.1	ST457	F	18	6	3
GCF_014168755.1	ST10	A	17	9	3
GCF_014168775.1	ST1193	B2-nonST131	19	10	3
GCF_014168835.1	ST131	B2-ST131	20	6	3
GCF_014168855.1	ST11252	D	20	11	3
GCF_014168935.1	ST744	A	3	11	1
GCF_014168955.1	ST131	B2-ST131	16	6	3
GCF_014169015.1	ST131	B2-ST131	17	7	3
GCF_014169035.1	ST2003	D	21	6	3
GCF_014169095.1	ST131	B2-ST131	19	10	3
GCF_014169115.1	ST405	D	22	16	4
GCF_014169155.1	ST3941	A	18	10	3
GCF_014169175.1	ST648	F	11	6	2
GCF_014169195.1	ST10	A	10	6	2
GCF_014169395.1	ST38	D	11	10	2
GCF_014169415.1	ST3177	F	16	10	3
GCF_014169435.1	ST131	B2-ST131	20	6	3
GCF_014169455.1	ST69	D	14	6	3
GCF_014169475.1	ST10	A	7	8	2
GCF_014169575.1	ST405	D	16	12	3
GCF_014169615.1	ST69	D	15	6	3
GCF_014169695.1	ST542	A	13	16	2
GCF_014169775.1	ST2858	D	12	5	2
GCF_014169855.1	ST38	D	19	11	3
GCF_014169915.1	ST130	E	30	13	4
GCF_014170615.1	ST117	G	27	8	4
GCF_014170675.1	ST3258	G	26	7	4
GCF_014171015.1	ST70	D	11	6	2
GCF_014189395.1	ST10	A	4	17	1
GCF_014217135.1	ST131	B2-ST131	22	10	4
GCF_014217155.1	ST131	B2-ST131	19	10	3
GCF_014262945.1	ST73	B2-nonST131	33	0	4
GCF_014295215.1	ST10	A	9	0	2
GCF_014295235.1	ST10	A	9	0	2
GCF_014295255.1	ST10	A	4	0	1
GCF_014295275.1	ST472	A	3	0	1
GCF_014295295.1	ST10	A	2	0	1
GCF_014295315.1	ST10	A	8	0	2
GCF_014338525.1	ST10	A	4	1	1
GCF_014361285.1	ST48	A	4	15	1
GCF_014522225.1	ST773	A	20	14	3
GCF_014522245.1	ST73	B2-nonST131	28	1	4
GCF_014541045.1	ST73	B2-nonST131	33	5	4
GCF_014622725.1	ST1485	F	21	11	3
GCF_014622985.1	ST32	D	28	0	4
GCF_014623205.1	ST32*	D	27	0	4
GCF_014623225.1	ST32	D	25	0	4
GCF_014623405.1	ST32	D	28	0	4
GCF_014656625.1	ST69	D	14	0	3
GCF_014705965.1	ST2491	A	3	0	1
GCF_014770655.1	ST399	A	6	0	2
GCF_014770895.1	ST5791	A	4	0	1
GCF_014771055.1	ST215	A	11	0	2
GCF_014771275.1	ST1429	A	5	0	1
GCF_014826015.1	ST410	C	5	9	1
GCF_014854675.1	ST1	D	10	2	2
GCF_014930915.1	ST12	B2-nonST131	29	0	4
GCF_014962565.1	ST69	D	14	0	3
GCF_015033265.1	ST1946	B2-nonST131	20	0	3
GCF_015138575.1	ST131	B2-ST131	21	12	3
GCF_015138955.1	ST73	B2-nonST131	24	10	4
GCF_015139155.1	ST393	D	19	10	3
GCF_015139375.1	ST1011	D	14	16	3
GCF_015139735.1	ST131	B2-ST131	18	10	3
GCF_015277555.1	ST131	B2-ST131	17	6	3
GCF_015290725.1	ST73	B2-nonST131	31	0	4
GCF_015571535.1	ST543	E	10	6	2
GCF_015571595.1	ST5135	D	9	6	2
GCF_015571655.1	ST761	A	9	8	2
GCF_015571695.1	ST46	A	4	5	1
GCF_015571715.1	ST88	C	18	8	3
GCF_015571815.1	ST48	A	4	7	1
GCF_015571855.1	ST5502	A	10	6	2
GCF_015571895.1	ST939	A	4	6	1
GCF_015649805.1	ST1722	F	14	8	3
GCF_015697215.1	ST6570	B2-nonST131	27	2	4
GCF_015843075.1	ST167	A	15	17	3
GCF_015910185.1	ST131	B2-ST131	16	18	3
GCF_016026195.1	ST7444	E	20	0	3
GCF_016026215.1	ST281	A	12	0	2
GCF_016026235.1	ST280	D	15	0	3
GCF_016026335.1	ST279	D	11	0	2
GCF_016126995.1	ST1807	C	34	0	4
GCF_016432805.1	ST410	C	12	18	2
GCF_016446335.1	ST48	A	11	19	2
GCF_016458885.1	ST11	E	27	0	4
GCF_016458905.1	ST11	E	27	0	4
GCF_016458925.1	ST11	E	26	0	4
GCF_016458945.1	ST11	E	30	1	4
GCF_016592875.1	ST10	A	2	1	1
GCF_016598635.1	ST1722	F	15	14	3
GCF_016629485.1	ST746	A	5	19	1
GCF_016696665.1	ST88	C	13	2	2
GCF_016728085.1	ST3854	A	8	0	2
GCF_016756455.1	ST131	B2-ST131	18	10	3
GCF_016757655.1	ST141	B2-nonST131	17	0	3
GCF_016767775.1	ST355	B2-nonST131	22	9	4
GCF_016774415.1	ST10	A	7	0	2
GCF_016775825.1	ST38	D	17	15	3
GCF_016775845.1	ST38	D	17	15	3
GCF_016775885.1	ST38	D	12	14	2
GCF_016775905.1	ST69	D	16	0	3
GCF_016775945.1	ST38	D	18	12	3
GCF_016775965.1	ST38	D	9	6	2
GCF_016775985.1	ST38	D	18	7	3
GCF_016776005.1	ST1722	F	8	6	2
GCF_016776025.1	ST38	D	12	14	2
GCF_016776045.1	ST38	D	12	12	2
GCF_016776065.1	ST38	D	12	7	2
GCF_016776085.1	ST38	D	22	6	4
GCF_016776105.1	ST38	D	16	15	3
GCF_016776145.1	ST38	D	16	15	3
GCF_016776165.1	ST38	D	16	0	3
GCF_016776185.1	ST127	B2-nonST131	26	5	4
GCF_016776205.1	ST38	D	17	10	3
GCF_016776245.1	ST38	D	12	14	2
GCF_016776265.1	ST69	D	16	7	3
GCF_016776305.1	ST127	B2-nonST131	26	5	4
GCF_016776325.1	ST38	D	18	6	3
GCF_016776365.1	ST349	D	8	0	2
GCF_016776385.1	ST38	D	19	15	3
GCF_016779865.1	ST38	D	17	15	3
GCF_016780285.1	ST361	A	5	2	1
GCF_016780415.1	ST38	D	12	14	2
GCF_016780575.1	ST38	D	18	15	3
GCF_016780725.1	ST405	D	20	7	3
GCF_016803855.1	ST410	C	4	19	1
GCF_016803935.1	ST28	B2-nonST131	22	0	4
GCF_016806025.1	ST93	A	19	15	3
GCF_016806045.1	ST354	F	13	16	2
GCF_016864175.1	ST140	B2-nonST131	25	0	4
GCF_016864475.1	ST93	A	22	0	4
GCF_016888925.1	ST12	B2-nonST131	21	3	3
GCF_016888965.1	ST2604	B2-nonST131	20	0	3
GCF_016889025.1	ST998	B2-nonST131	22	0	4
GCF_016889045.1	ST1278	B2-nonST131	18	0	3
GCF_016889085.1	ST127	B2-nonST131	25	8	4
GCF_016889105.1	ST420	B2-nonST131	18	0	3
GCF_016889125.1	ST10	A	14	1	3
GCF_016889185.1	ST127	B2-nonST131	24	4	4
GCF_016889265.1	ST131	B2-ST131	17	2	3
GCF_016889325.1	ST12	B2-nonST131	31	0	4
GCF_016889485.1	ST202	A	7	2	2
GCF_016889505.1	ST2973	A	6	14	2
GCF_016889525.1	ST7122	A	3	4	1
GCF_016889545.1	ST5416*	A	2	8	1
GCF_016889565.1	ST7941	A	8	11	2
GCF_016889605.1	ST457	F	17	6	3
GCF_016889625.1	ST12	B2-nonST131	29	0	4
GCF_016889685.1	ST141	B2-nonST131	35	0	4
GCF_016889725.1	ST14	B2-nonST131	26	9	4
GCF_016889845.1	ST43	A	9	12	2
GCF_016889865.1	ST569	B2-nonST131	15	0	3
GCF_016889905.1	ST12	B2-nonST131	21	13	3
GCF_016890005.1	ST93	A	13	11	2
GCF_016890045.1	ST131	B2-ST131	22	12	4
GCF_016890105.1	ST131	B2-ST131	18	12	3
GCF_016903275.1	ST405	D	10	9	2
GCF_016903315.1	ST69	D	22	4	4
GCF_016903335.1	ST95	B2-nonST131	26	0	4
GCF_016903375.1	ST117	G	23	0	4
GCF_016903435.1	ST95	B2-nonST131	27	5	4
GCF_016903535.1	ST491	B2-nonST131	13	0	2
GCF_016903595.1	ST405	D	14	9	3
GCF_016903615.1	ST95	B2-nonST131	22	0	4
GCF_016903815.1	ST405	D	10	12	2
GCF_016903835.1	ST95	B2-nonST131	24	0	4
GCF_016903855.1	ST69	D	12	10	2
GCF_016903915.1	ST95	B2-nonST131	27	6	4
GCF_016903935.1	ST69	D	16	7	3
GCF_016903995.1	ST10	A	3	0	1
GCF_016904055.1	ST73	B2-nonST131	24	0	4
GCF_016904075.1	ST95	B2-nonST131	25	0	4
GCF_016904115.1	ST69	D	21	0	3
GCF_016904175.1	ST420	B2-nonST131	17	0	3
GCF_016904195.1	ST1231	B2-nonST131	21	3	3
GCF_016904235.1	ST117	G	27	0	4
GCF_016904255.1	ST405	D	9	3	2
GCF_016904335.1	ST405	D	16	10	3
GCF_016904395.1	ST398	A	5	9	1
GCF_016904435.1	ST95	B2-nonST131	20	0	3
GCF_016904455.1	ST95	B2-nonST131	29	3	4
GCF_016904475.1	ST95	B2-nonST131	22	0	4
GCF_016904495.1	ST405	D	11	16	2
GCF_016904535.1	ST95	B2-nonST131	26	3	4
GCF_016904555.1	ST624	F	27	9	4
GCF_016904575.1	ST38	D	12	9	2
GCF_016904615.1	ST144	B2-nonST131	24	0	4
GCF_016904655.1	ST969	B2-nonST131	27	7	4
GCF_016904695.1	ST10	A	2	8	1
GCF_016939795.1	ST131	B2-ST131	14	18	3
GCF_016942475.1	ST10	A	9	7	2
GCF_016942575.1	ST23	C	19	13	3
GCF_016942595.1	ST1585	A	3	5	1
GCF_016942615.1	ST11225	A	4	8	1
GCF_016942635.1	ST648	F	12	7	2
GCF_016944635.1	ST10	A	6	11	2
GCF_016944655.1	ST48	A	3	13	1
GCF_016944675.1	ST69	D	18	13	3
GCF_016944695.1	ST165	A	2	7	1
GCF_016944715.1	ST3944	A	4	10	1
GCF_016944735.1	ST542	A	4	12	1
GCF_016944755.1	ST131	B2-ST131	17	10	3
GCF_017088405.1	ST7087	A	3	6	1
GCF_017088425.1	ST1011	D	6	8	2
GCF_017088465.1	ST2705	A	3	3	1
GCF_017088485.1	ST2325	A	5	12	1
GCF_017161035.1	ST10	A	4	12	1
GCF_017161345.1	ST206	A	4	15	1
GCF_017164755.1	ST11	E	25	0	4
GCF_017164795.1	ST11	E	27	0	4
GCF_017164835.1	ST11	E	25	0	4
GCF_017164915.1	ST11	E	25	0	4
GCF_017164955.1	ST11	E	25	0	4
GCF_017165115.1	ST-Unknown	E	25	2	4
GCF_017165335.1	ST11	E	25	0	4
GCF_017165355.1	ST11	E	25	0	4
GCF_017165375.1	ST11	E	25	0	4
GCF_017165395.1	ST11	E	25	0	4
GCF_017165415.1	ST11	E	25	0	4
GCF_017165435.1	ST11	E	25	0	4
GCF_017165455.1	ST11	E	25	0	4
GCF_017310055.1	ST10	A	4	8	1
GCF_017310445.1	ST648	F	17	17	3
GCF_017338715.1	ST10	A	4	0	1
GCF_017348835.2	ST799	E or cladeI	22	14	4
GCF_017352035.1	ST393	D	11	7	2
GCF_017352055.1	ST46	A	5	5	1
GCF_017356665.1	ST95	B2-nonST131	15	2	3
GCF_017357505.1	ST73	B2-nonST131	31	0	4
GCF_017357545.1	ST11	E	27	0	4
GCF_017570585.1	ST93	A	9	4	2
GCF_017570605.1	ST10	A	12	8	2
GCF_017570625.1	ST10	A	10	13	2
GCF_017570665.1	ST6856	A	3	10	1
GCF_017579865.1	ST744	A	4	19	1
GCF_017603565.1	ST38	D	11	11	2
GCF_017638985.1	ST354	F	21	10	3
GCF_017639005.1	ST457	F	16	12	3
GCF_017639025.1	ST11280	A	3	11	1
GCF_017639045.1	ST167	A	8	14	2
GCF_017639105.1	ST215	A	2	10	1
GCF_017639125.1	ST10	A	13	14	2
GCF_017639165.1	ST215	A	2	13	1
GCF_017639185.1	ST1266	E	8	17	2
GCF_017815815.1	ST1262	B2-nonST131	34	0	4
GCF_017868515.1	ST6856	A	2	5	1
GCF_017903455.1	ST48	A	4	9	1
GCF_018075285.1	ST410	C	16	17	3
GCF_018075305.1	ST131	B2-ST131	15	17	3
GCF_018085225.1	ST6002	A	4	0	1
GCF_900088105.1	ST410	C	13	10	2
GCF_900092615.1	ST10	A	16	0	3
GCF_900096845.1	ST10	A	4	0	1
GCF_900149875.1	ST15	B2-nonST131	7	0	2
GCF_900174635.1	ST1288	A	7	7	2
GCF_900184875.1	ST8217	A	4	0	1
GCF_900186905.1	ST1721	A	2	0	1
GCF_900474445.1	ST8740	A	3	0	1
GCF_900474495.1	ST218	A	2	0	1
GCF_900474625.1	ST5766	A	3	1	1
GCF_900497095.1	ST410	C	8	7	2
GCF_900497415.1	ST131	B2-ST131	21	6	3
GCF_900497485.1	ST393	D	19	10	3
GCF_900520285.1	ST10	A	13	5	2
GCF_900520305.1	ST10	A	12	7	2
GCF_900520325.1	ST131	B2-ST131	19	9	3
GCF_900520345.1	ST131	B2-ST131	23	15	4
GCF_900520365.1	ST131	B2-ST131	22	12	4
GCF_900520385.1	ST617	A	8	15	2
GCF_900622635.1	ST131	B2-ST131	21	15	3
GCF_900622655.1	ST648	F	15	10	3
GCF_900622685.1	ST69	D	20	2	3
GCF_900622695.1	ST963	D	11	6	2
GCF_900635145.1	ST2325	A	4	0	1
GCF_900635165.1	ST95	B2-nonST131	17	0	3
GCF_900635175.1	ST10	A	3	0	1
GCF_900635185.1	ST350	E	14	0	3
GCF_900635215.1	ST10	A	4	0	1
GCF_900635325.1	ST57	E	20	0	3
GCF_900635635.1	ST10	A	4	0	1
GCF_900636045.1	ST34	A	2	0	1
GCF_900636055.1	ST8740	A	3	0	1
GCF_900636115.1	ST10	A	6	2	2
GCF_900636125.1	ST6071	A	5	0	1
GCF_900636145.1	ST10	A	4	0	1
GCF_900636195.1	ST398	A	4	0	1
GCF_900636215.1	ST73	B2-nonST131	27	0	4
GCF_900636235.1	ST10	A	3	0	1
GCF_900636245.1	ST10	A	4	0	1
GCF_900636295.1	ST10	A	3	0	1
GCF_900636305.1	ST93	A	6	0	2
GCF_900636595.1	ST189	A	2	0	1
GCF_900636605.1	ST10	A	5	0	1
GCF_900747775.1	ST635	A	3	0	1
GCF_900747785.1	ST7095	A	3	2	1
GCF_901733115.1	ST410	C	3	20	1
GCF_902703415.1	ST95	B2-nonST131	28	3	4
GCF_902705295.1	ST95	B2-nonST131	24	2	4
GCF_902810335.1	ST2550	G	8	0	2
GCF_902810395.1	ST1164	B2-nonST131	12	0	2
GCF_904426485.1	ST1421	A	3	3	1
GCF_904711295.1	ST10	A	2	10	1
GCF_904711305.1	ST7036	A	6	8	2
GCF_904799825.1	ST23	C	14	2	3
GCF_904830965.1	ST4	A	12	0	2
GCF_904831805.1	ST182	E	10	1	2
GCF_904831835.1	ST1312	A	9	3	2
GCF_904833135.1	ST2353	A	12	0	2
GCF_904863105.1	ST141	B2-nonST131	32	5	4
GCF_904863235.1	ST393	D	26	8	4
GCF_904863255.1	ST648	F	15	10	3
GCF_904863305.1	ST38	D	22	14	4
GCF_904863375.1	ST354	F	13	15	2
GCF_904863385.1	ST617	A	9	16	2
GCF_904863445.1	ST176	A	3	8	1
GCF_904864555.1	ST69	D	21	9	3
GCF_904864635.1	ST1193	B2-nonST131	17	5	3
GCF_904865655.1	ST648	F	20	11	3
GCF_904865835.1	ST10	A	6	4	2
GCF_904866225.1	ST617	A	8	7	2
GCF_904866345.1	ST10	A	8	10	2
GCF_904866455.1	ST131	B2-ST131	19	6	3
GCF_904866495.1	ST38	D	17	6	3
GCF_905071835.1	ST59	F	24	4	4
GCF_905071865.1	ST48	A	4	13	1
GCF_000010745.1	ST17	B1-shiga	22	0	4
GCF_000010765.1	ST16	B1-shiga	28	4	4
GCF_000091005.1	ST21	B1-shiga	29	0	4
GCF_000299455.1	ST678	B1-shiga	29	9	4
GCF_000299475.1	ST678	B1-shiga	30	5	4
GCF_000464955.2	ST672	B1-shiga	17	0	3
GCF_000801165.1	ST2773	B1-shiga	16	0	3
GCF_001644725.1	ST1727	B1-shiga	9	1	2
GCF_001645235.2	ST17	B1-shiga	22	0	4
GCF_001677495.1	ST718	B1-shiga	12	0	2
GCF_001678965.1	ST718	B1-shiga	11	0	2
GCF_001721125.1	ST21	B1-shiga	30	0	4
GCF_001886935.1	ST679	B1-shiga	9	0	2
GCF_002055605.1	ST300	B1-shiga	17	0	3
GCF_002057245.1	ST300	B1-shiga	19	0	3
GCF_002156845.1	ST294	B1-shiga	25	0	4
GCF_002209105.2	ST678	B1-shiga	30	6	4
GCF_002214745.2	ST678	B1-shiga	29	1	4
GCF_002716885.1	ST442	B1-shiga	14	0	3
GCF_002741595.1	ST443*	B1-shiga	15	0	3
GCF_002844165.1	ST655	B1-shiga	23	0	4
GCF_002983645.1	ST678	B1-shiga	29	9	4
GCF_003017375.1	ST17	B1-shiga	25	0	4
GCF_003017455.1	ST16	B1-shiga	26	0	4
GCF_003017555.1	ST16	B1-shiga	24	0	4
GCF_003017615.1	ST56	B1-shiga	12	0	2
GCF_003017765.1	ST442	B1-shiga	11	0	2
GCF_003017915.1	ST21	B1-shiga	30	0	4
GCF_003017935.1	ST33	B1-shiga	18	0	3
GCF_003017975.1	ST1792	B1-shiga	25	0	4
GCF_003017995.1	ST443	B1-shiga	17	0	3
GCF_003018035.1	ST21	B1-shiga	32	0	4
GCF_003018055.1	ST21	B1-shiga	27	0	4
GCF_003018135.1	ST21	B1-shiga	29	0	4
GCF_003018155.1	ST300	B1-shiga	20	0	3
GCF_003018195.1	ST677	B1-shiga	10	0	2
GCF_003018215.1	ST173	B1-shiga	17	0	3
GCF_003018275.1	ST173	B1-shiga	17	0	3
GCF_003018315.1	ST21	B1-shiga	28	3	4
GCF_003018355.1	ST223	B1-shiga	17	0	3
GCF_003018455.1	ST21	B1-shiga	37	3	4
GCF_003018495.1	ST2836	B1-shiga	24	0	4
GCF_003018535.1	ST16	B1-shiga	24	0	4
GCF_003018555.1	ST723	B1-shiga	29	0	4
GCF_003018575.1	ST21	B1-shiga	29	0	4
GCF_003018615.1	ST33*	B1-shiga	14	0	3
GCF_003018655.1	ST3695	B1-shiga	10	0	2
GCF_003018695.1	ST655	B1-shiga	23	0	4
GCF_003018715.1	ST29	B1-shiga	28	0	4
GCF_003018755.1	ST205	B1-shiga	14	0	3
GCF_003018775.1	ST655	B1-shiga	23	0	4
GCF_003018855.1	ST2602	B1-shiga	14	0	3
GCF_003018875.1	ST16	B1-shiga	24	12	4
GCF_003018895.1	ST21	B1-shiga	28	0	4
GCF_003018915.1	ST17	B1-shiga	21	0	3
GCF_003018935.1	ST655	B1-shiga	23	0	4
GCF_003019055.1	ST655	B1-shiga	23	0	4
GCF_003019115.1	ST297	B1-shiga	11	0	2
GCF_003019155.1	ST343	B1-shiga	21	0	3
GCF_003019175.1	ST21	B1-shiga	28	0	4
GCF_003019215.1	ST2836	B1-shiga	24	0	4
GCF_003112145.1	ST655	B1-shiga	23	0	4
GCF_003112165.1	ST723	B1-shiga	30	0	4
GCF_003112185.1	ST21	B1-shiga	30	0	4
GCF_003112205.1	ST937	B1-shiga	18	0	3
GCF_003112225.1	ST21	B1-shiga	31	0	4
GCF_003112245.1	ST16	B1-shiga	24	0	4
GCF_003176855.1	ST223	B1-shiga	18	0	3
GCF_003203755.1	ST16	B1-shiga	26	1	4
GCF_003288295.1	ST16	B1-shiga	23	0	4
GCF_003433275.1	ST678	B1-shiga	30	1	4
GCF_003966425.1	ST16	B1-shiga	25	10	4
GCF_003966445.1	ST16	B1-shiga	25	4	4
GCF_003966465.1	ST21	B1-shiga	29	3	4
GCF_004358365.1	ST21	B1-shiga	30	4	4
GCF_004358385.1	ST29	B1-shiga	28	0	4
GCF_004358405.1	ST21	B1-shiga	29	0	4
GCF_005014055.1	ST223	B1-shiga	19	0	3
GCF_005037715.1	ST655	B1-shiga	23	0	4
GCF_005037725.1	ST21	B1-shiga	31	0	4
GCF_005037775.1	ST442	B1-shiga	12	0	2
GCF_005037795.1	ST17	B1-shiga	23	0	4
GCF_005037805.1	ST16	B1-shiga	25	0	4
GCF_005037845.1	ST17	B1-shiga	19	0	3
GCF_007990655.1	ST16	B1-shiga	25	3	4
GCF_008329665.1	ST223	B1-shiga	12	0	2
GCF_008761455.2	ST2217	B1-shiga	14	0	3
GCF_008761475.2	ST2217	B1-shiga	20	0	3
GCF_008761495.2	ST2217	B1-shiga	23	0	4
GCF_008761515.1	ST223	B1-shiga	10	0	2
GCF_008761535.2	ST17	B1-shiga	20	0	3
GCF_009650035.1	ST29	B1-shiga	29	0	4
GCF_009728565.1	ST446	B1-shiga	15	0	3
GCF_009948655.1	ST4038	B1-shiga	13	0	2
GCF_009949145.1	ST446	B1-shiga	10	0	2
GCF_009950475.1	ST1611	B1-shiga	9	0	2
GCF_009950805.1	ST1611	B1-shiga	10	0	2
GCF_009951245.1	ST1611	B1-shiga	13	0	2
GCF_009951745.1	ST155	B1-shiga	8	0	2
GCF_009952125.1	ST162	B1-shiga	9	0	2
GCF_013357365.1	ST17	B1-shiga	21	0	3
GCF_014058445.2	ST21	B1-shiga	31	0	4
GCF_014805805.1	ST297	B1-shiga	8	0	2
GCF_014854575.1	ST442	B1-shiga	10	0	2
GCF_015508805.1	ST3570	B1-shiga	31	6	4
GCF_015509005.1	ST3570	B1-shiga	31	5	4
GCF_016803875.1	ST25	B1-shiga	26	0	4
GCF_016803915.1	ST829	B1-shiga	14	0	3
GCF_000010385.1	ST156	B1-nonshiga	6	1	2
GCF_000017745.1	ST1132	B1-nonshiga	8	1	2
GCF_000026245.1	ST678	B1-nonshiga	14	1	3
GCF_000026265.1	ST1128	B1-nonshiga	4	0	1
GCF_000147855.2	ST1079	B1-nonshiga	5	1	1
GCF_000167875.2	ST381	B1-nonshiga	20	1	3
GCF_000258025.1	ST1079	B1-nonshiga	3	1	1
GCF_000258145.1	ST1079	B1-nonshiga	5	0	1
GCF_000468515.1	ST1079	B1-nonshiga	3	0	1
GCF_000831565.1	ST847	B1-nonshiga	6	1	2
GCF_000971615.1	ST5082	B1-nonshiga	8	0	2
GCF_001007915.1	ST99	B1-nonshiga	9	1	2
GCF_001660565.1	ST7060	B1-nonshiga	5	4	1
GCF_001679985.1	ST7051	B1-nonshiga	6	9	2
GCF_001693635.1	ST359	B1-nonshiga	7	13	2
GCF_001900355.1	ST109	B1-nonshiga	4	0	1
GCF_001900375.1	ST224	B1-nonshiga	3	9	1
GCF_001900475.1	ST297	B1-nonshiga	8	0	2
GCF_001900495.1	ST2522	B1-nonshiga	3	2	1
GCF_001900515.1	ST20	B1-nonshiga	15	0	3
GCF_001900535.1	ST295	B1-nonshiga	8	0	2
GCF_001900595.1	ST-Unknown	B1-nonshiga	12	0	2
GCF_001900675.1	ST58	B1-nonshiga	15	12	3
GCF_001900695.1	ST1196	B1-nonshiga	14	13	3
GCF_001900815.1	ST101	B1-nonshiga	5	6	1
GCF_001900885.1	ST1706	B1-nonshiga	4	2	1
GCF_001900945.1	ST-Unknown	B1-nonshiga	5	0	1
GCF_001900965.1	ST4434*	B1-nonshiga	6	0	2
GCF_001901005.1	ST345	B1-nonshiga	3	0	1
GCF_001901025.1	ST1081	B1-nonshiga	6	0	2
GCF_001901065.1	ST278	B1-nonshiga	9	0	2
GCF_001901085.1	ST5082	B1-nonshiga	4	0	1
